date,open,high,low,close,volume,Sentiment
4/30/2018,244.8,249.7,244.5,246.4,17263193,0
5/2/2018,245.9,246.3,239.75,241,12887066,0
5/3/2018,240.95,243.4,238.75,241.9,12939642,0
5/4/2018,243.5,243.9,240.35,241.95,12777310,0
5/7/2018,242.45,248.2,242.05,246.5,15122614,0
5/8/2018,248,252.6,244.6,250.05,23293920,1
5/9/2018,249.8,249.8,246.3,248,11429823,0
5/10/2018,248.25,250.2,246.3,247.95,13160967,0
5/11/2018,247.6,251.6,246.05,250.35,11958589,0
5/14/2018,249.95,255.8,248.15,253.6,18673849,1
5/15/2018,253,257.45,245.9,248,18026861,1
5/16/2018,245.5,248.7,240.6,243.1,17222004,0
5/17/2018,244.2,246,241.15,242.7,11721064,0
5/18/2018,243,244,237.85,238.85,11873041,0
5/21/2018,243.55,245.75,240.3,244.45,18780730,0
5/22/2018,243.65,259.7,241,253.9,68713602,1
5/23/2018,254.65,269.75,254.3,263.2,71202072,0
5/24/2018,263.85,269.7,260.65,268.5,34679642,1
5/25/2018,267.8,268.4,262.55,266.95,22317308,0
5/28/2018,267.4,274.2,266.05,272.05,18959368,0
5/29/2018,270.5,270.95,262.8,264.3,16107543,0
5/30/2018,260.5,268,259.95,267.15,19320209,1
5/31/2018,266.85,274.8,263.15,269.55,31935892,0
6/1/2018,269.25,269.8,264.6,266.7,16574717,-1
6/4/2018,268,268.35,261.3,263,12933824,1
6/5/2018,260.9,265.25,260.9,263.55,14102731,0
6/6/2018,263,271.4,262.2,270.15,18315171,0
6/7/2018,271.05,272.9,268.4,269.65,18773700,0
6/8/2018,268.95,273.9,267,273,14096549,0
6/11/2018,273.3,278.4,273.15,274,18219428,1
6/12/2018,274,284.4,274,282.85,31358021,0
6/13/2018,284,289.65,283.65,287.7,26748300,1
6/14/2018,286.55,286.55,281.3,282.6,18513730,0
6/15/2018,282.75,283.45,276.6,277.45,16949917,0
6/18/2018,278,279.75,275.45,276.85,13542420,0
6/19/2018,276,276.7,269.75,272.6,20726975,0
6/20/2018,273.2,274.75,271.1,273.3,14002946,0
6/21/2018,274.75,274.75,268.1,268.65,12954943,0
6/22/2018,269,273.7,265.75,273.05,20784133,0
6/25/2018,271.85,273.15,267.2,268.45,10934401,0
6/26/2018,267.25,271.2,265.4,267.4,16867009,1
6/27/2018,267.35,267.35,261,261.7,16277655,0
6/28/2018,260.4,262,255.7,257,21349738,-1
6/29/2018,258.25,263.45,258.2,259.35,16244724,0
7/2/2018,258.95,261.75,254,258.85,21896701,-1
7/3/2018,259.6,260.9,256.4,257.5,16099030,0
7/4/2018,255.75,258.35,254.5,257.45,14206935,0
7/5/2018,257.9,258.7,255.15,256.45,11215032,0
7/6/2018,256.1,260.8,255.55,257.2,16174019,1
7/9/2018,258.2,262.4,257.95,261.55,13220744,0
7/10/2018,263.85,265.75,262.4,263.75,11487165,0
7/11/2018,262.65,262.65,257.9,259.1,12857179,-1
7/12/2018,261.4,264.5,261.15,262.75,10642215,0
7/13/2018,262.1,262.4,256.8,257.75,11976239,0
7/16/2018,257,257.5,251,251.6,8965623,0
7/17/2018,250.7,259.85,250.45,259.05,16067598,0
7/18/2018,260.1,262.5,256.15,259.55,17641125,0
7/19/2018,259.4,263.5,256.2,260.2,9958284,0
7/20/2018,259.9,263,258.55,261.5,6120163,0
7/23/2018,262,267.5,260.6,266.35,17013119,0
7/24/2018,267.2,269.2,265.55,266.85,9320281,0
7/25/2018,268,272.85,265.65,271.85,13099277,1
7/26/2018,275.1,289.4,274.2,287.7,53496546,0
7/27/2018,289.5,297,285.1,286.75,32175436,0
7/30/2018,289.2,299.55,289.2,297.4,40949610,0
7/31/2018,297,302.4,291.8,293.5,36510328,1
8/1/2018,294.5,298,288.35,295.1,33885474,0
8/2/2018,293,296.4,290.55,293.9,15665209,0
8/3/2018,294.6,299.95,294.5,299.25,18254462,0
8/6/2018,300.6,311.35,300.6,308.5,31576923,0
8/7/2018,309.85,311.7,303.05,304.05,23929123,1
8/8/2018,304.05,310.9,303.05,308.7,20498279,0
8/9/2018,312.95,319.85,310.15,317.4,46464355,0
8/10/2018,317.65,326.4,300.5,304.45,111510771,1
8/13/2018,296,302.8,291.1,294.15,58127432,0
8/14/2018,296.7,298.95,293.35,294.9,25294933,1
8/16/2018,293.5,298.4,290.25,292.7,31083900,0
8/17/2018,295,302.7,294.05,302.1,21931134,0
8/20/2018,304.1,308.7,303.6,307.65,20240462,-1
8/21/2018,308.3,308.85,303.35,307,14139592,0
8/23/2018,306.95,306.95,298.3,302.45,22721004,0
8/24/2018,300.6,305.7,299,300.45,18869585,1
8/27/2018,304,310.35,303.3,308,28111768,1
8/28/2018,308.05,310.25,303.4,305.35,16890236,0
8/29/2018,306.8,312,305.75,309.7,24320824,0
8/30/2018,309.3,310.5,306,308.6,19935935,0
8/31/2018,307.9,310.65,304.55,309.6,18100140,0
9/3/2018,312.5,312.5,304.8,306.35,14708076,0
9/4/2018,306.8,307.45,295.45,296.4,42859084,0
9/5/2018,296.5,298.85,290.4,296.55,22922686,0
9/6/2018,298,299.85,294.5,296.45,18001336,0
9/7/2018,295.9,295.9,289.45,291.65,23716678,0
9/10/2018,290.65,293.25,283.8,284.85,23354395,0
9/11/2018,287.35,291.45,281.65,282.6,28361400,-1
9/12/2018,284,286.7,280,285.3,22717796,0
9/14/2018,290.1,291.8,288.7,290.65,15149585,0
